A1,A2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
28,0
45,0
46,1
46,0
48,1
57,1
60,1
62,1
64,1
68,2
71,2
72,2
72,2
73,2
76,2
84,2
87,3
87,3
87,3
87,3
91,3
96,3
101,3
103,4
105,4
106,4
106,4
106,4
111,4
111,4
112,4
112,4
112,4
116,4
118,4
121,4
125,5
127,5
129,5
129,5
129,5
129,5
131,5
134,5
136,5
137,5
137,5
138,5
140,5
141,5
141,5
141,5
145,6
151,6
155,6
157,6
158,6
160,6
165,7
168,7
171,6
171,7
171,7
171,7
171,7
172,7
175,7
180,7
184,8
191,8
191,8
194,8
195,8
198,8
199,8
200,8
202,9
208,9
211,9
221,10
224,10
225,10
226,10
230,10
233,10
238,10
239,11
240,11
240,11
240,11
240,11
244,11
249,11
258,11
267,12
270,12
272,12
273,12
273,12
273,12
275,12
278,13
279,13
279,13
279,13
280,13
282,13
283,13
284,13
284,13
286,13
293,13
301,14
304,14
305,14
306,14
306,14
306,14
309,14
315,14
323,15
325,15
326,15
326,15
326,15
326,15
326,15
326,15
326,15
326,15
331,15
337,16
348,16
360,17
361,17
361,17
361,17
361,17
361,17
361,17
361,17
361,17
364,17
365,17
366,17
369,17
377,18
379,18
380,18
381,18
384,18
385,18
385,18
392,18
406,19
417,20
419,20
419,20
419,20
420,20
420,20
422,20
425,20
428,20
437,21
460,22
476,23
496,24
497,24
497,24
497,24
497,24
505,24
514,25
517,25
518,25
521,25
528,25
531,26
532,26
533,26
536,26
552,27
563,27
569,28
571,28
579,28
593,29
611,30
643,31
661,32
667,33
669,33
670,33
680,33
699,34
713,35
729,36
750,37
774,38
800,39
840,42
902,45
989,49
994,50
995,50
995,50
995,50
995,50
994,50
994,50
994,50
994,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1000,50
1001,50
1000,50
1000,50
1001,50
1000,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
1001,50
995,50
995,50
889,44
848,42
828,41
798,39
717,35
652,32
625,31
600,29
578,28
547,26
529,25
518,25
502,24
491,23
469,22
447,21
421,20
402,19
390,18
382,18
374,17
370,17
367,17
360,17
346,16
331,15
328,15
326,15
325,15
322,15
316,15
306,14
302,14
