A1,A2
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
34,0
50,0
50,0
50,0
50,0
58,0
87,0
118,0
206,0
334,0
443,0
531,0
552,0
553,0
553,0
560,0
566,0
572,0
579,2
585,4
589,6
593,8
596,9
597,10
602,12
607,15
613,18
622,24
637,34
660,50
700,79
754,120
918,249
916,248
931,260
932,261
932,261
932,260
932,261
933,262
933,262
934,262
934,263
935,263
935,263
935,263
935,263
930,259
933,261
933,262
935,264
937,266
938,267
938,268
938,268
938,268
938,268
938,268
939,269
939,268
939,269
939,269
939,269
939,269
939,269
939,269
939,269
939,268
938,268
938,268
939,269
939,269
939,269
939,269
939,269
939,268
924,256
921,255
922,255
922,255
924,256
924,257
908,244
791,150
737,108
721,96
694,75
666,55
646,41
630,29
623,25
621,23
617,21
615,20
612,18
610,17
606,14
602,12
596,9
592,7
588,5
586,4
585,4
584,4
583,3
582,3
581,3
580,2
578,2
575,1
572,0
569,0
566,0
564,0
562,0
560,0
557,0
550,0
542,0
532,0
526,0
518,0
506,0
492,0
473,0
461,0
456,0
452,0
451,0
449,0
440,0
431,0
413,0
380,0
334,0
286,0
261,0
234,0
230,0
217,0
212,0
206,0
202,0
198,0
195,0
194,0
188,0
176,0
159,0
144,0
120,0
89,0
61,0
34,0
14,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,0
15,0
22,0
28,0
36,0
47,0
55,0
58,0
61,0
66,0
76,0
88,0
98,0
100,0
103,0
114,0
122,0
136,0
138,0
142,0
148,0
154,0
164,0
180,0
186,0
192,0
199,0
208,0
211,0
219,0
234,0
254,0
286,0
292,0
292,0
292,0
309,0
321,0
329,0
334,0
342,0
351,0
358,0
373,0
383,0
399,0
414,0
420,0
427,0
431,0
434,0
450,0
472,0
494,0
506,0
519,0
534,0
547,0
551,0
557,0
564,0
572,0
577,1
582,3
584,3
585,4
586,4
587,5
588,5
590,6
591,7
594,8
595,8
597,9
599,11
602,12
605,14
610,17
615,20
619,22
623,25
628,28
634,32
647,41
666,55
690,72
707,84
733,105
900,236
918,251
920,253
920,253
