A1,A2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
10,0
36,0
66,0
88,0
93,0
97,0
122,0
185,0
200,0
200,0
200,0
200,0
200,0
200,0
200,0
202,0
208,0
216,0
220,0
223,0
236,0
263,0
295,0
298,0
298,0
298,0
315,0
336,0
355,0
372,0
385,0
397,0
406,0
419,0
442,0
480,0
505,0
517,0
522,1
527,3
528,3
529,3
531,4
532,4
532,4
532,4
532,4
533,5
533,5
534,5
536,6
540,7
546,10
551,12
552,13
553,13
555,14
559,16
563,18
567,20
571,22
576,25
583,29
590,33
594,35
598,38
614,47
645,66
688,93
735,123
907,240
965,279
963,277
982,292
984,293
984,293
984,293
984,293
984,293
984,293
984,293
984,293
984,293
984,293
984,293
984,293
984,294
984,293
984,293
984,294
984,294
984,294
984,294
984,294
984,294
984,294
984,294
984,294
985,294
985,294
984,294
984,294
985,294
984,294
984,294
984,294
984,294
984,294
984,294
984,294
983,293
984,294
984,294
984,294
983,293
984,294
984,294
983,294
973,286
966,281
961,278
967,282
966,282
965,281
965,281
942,265
740,127
687,92
650,69
635,60
629,57
627,56
627,55
626,55
624,53
620,51
613,47
607,43
599,38
593,35
588,32
585,30
580,28
576,25
572,23
569,22
567,20
566,20
564,19
560,17
557,16
553,13
549,12
547,11
544,9
542,9
541,8
541,8
540,8
539,7
538,7
537,6
536,6
534,6
534,5
532,4
530,4
527,3
523,2
522,1
518,1
516,0
510,0
505,0
493,0
484,0
476,0
470,0
464,0
452,0
440,0
425,0
416,0
403,0
389,0
382,0
374,0
368,0
362,0
352,0
340,0
323,0
308,0
300,0
291,0
286,0
282,0
277,0
274,0
271,0
261,0
248,0
236,0
217,0
213,0
213,0
210,0
202,0
196,0
190,0
171,0
160,0
146,0
119,0
91,0
65,0
52,0
51,0
51,0
51,0
38,0
25,0
14,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
