A1,A2
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
31,0
55,0
70,0
102,0
196,0
301,0
333,0
333,0
332,0
333,0
334,0
343,0
349,0
361,0
370,0
377,0
381,0
391,0
400,0
401,0
413,0
424,0
446,2
455,4
460,5
463,7
465,7
466,8
466,8
467,8
467,9
469,9
469,10
470,10
472,11
474,12
475,12
477,13
477,13
479,14
481,15
486,18
492,22
495,23
496,24
498,25
500,26
503,28
516,37
536,51
555,63
581,82
595,92
603,98
603,98
606,100
641,127
909,335
923,347
952,379
952,384
952,386
952,387
952,388
952,388
952,389
952,389
952,389
945,384
945,383
923,366
924,367
927,369
926,368
923,367
924,367
923,367
952,393
953,394
952,394
950,392
944,387
943,386
945,389
943,387
944,388
945,389
934,380
944,388
951,394
936,382
934,380
932,379
931,379
925,373
904,356
913,364
907,359
877,334
850,313
651,155
614,126
559,85
524,59
506,46
499,41
498,41
491,36
483,31
470,22
457,15
450,12
448,10
448,10
448,10
448,10
447,10
441,7
434,4
430,3
430,3
430,3
429,3
427,2
425,3
419,1
415,0
410,0
398,0
383,0
379,0
363,0
349,0
303,0
284,0
264,0
229,0
216,0
214,0
214,0
214,0
214,0
209,0
197,0
194,0
193,0
193,0
189,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
188,0
190,1
190,1
190,2
189,1
188,0
153,0
126,1
83,0
34,0
11,0
3,0
3,0
3,0
3,0
3,0
2,0
2,0
2,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
44,0
81,0
81,0
81,0
90,0
101,0
117,0
118,0
119,0
133,0
176,0
220,0
241,0
242,0
257,0
274,0
297,0
322,0
332,0
346,0
348,0
349,0
358,0
370,0
387,0
408,1
413,1
414,0
416,1
419,1
427,2
438,6
445,8
448,10
448,10
449,10
449,10
450,11
451,11
453,12
457,14
460,16
463,18
465,19
465,19
468,21
470,22
473,23
474,25
476,25
478,27
482,29
485,31
490,35
497,39
505,45
514,51
520,56
529,62
536,68
548,77
564,88
570,93
578,99
595,113
647,154
875,340
905,366
906,367
903,364
902,363
902,363
907,367
929,386
930,387
929,387
930,387
929,387
930,387
930,388
930,388
931,388
930,388
931,389
932,390
932,390
932,391
932,391
932,392
932,392
932,392
932,393
932,394
933,395
