A1,A2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
2,0
2,0
26,0
61,0
94,0
103,0
103,0
103,0
105,0
113,0
116,0
116,0
116,0
120,0
140,0
147,0
152,0
154,0
159,0
167,0
168,0
173,0
178,0
180,0
191,0
196,0
206,0
210,0
223,0
272,0
337,0
363,0
364,0
364,0
372,0
388,0
400,0
406,0
406,0
406,0
406,0
407,0
413,0
418,0
422,0
428,1
432,2
436,3
437,3
437,3
437,3
438,3
441,4
447,6
449,7
450,7
451,7
451,7
453,8
455,9
458,10
460,11
460,12
461,12
462,12
463,13
468,15
473,18
475,19
476,19
478,21
481,22
485,24
491,28
498,32
502,34
508,38
512,40
516,43
526,49
545,61
585,88
618,110
658,138
728,187
911,321
940,343
942,344
939,342
939,342
937,341
938,342
941,344
968,364
969,365
969,365
969,366
970,366
969,366
969,366
969,366
969,366
969,366
969,366
969,366
968,366
969,366
969,366
969,366
969,366
969,366
969,366
969,366
969,367
970,367
970,367
970,367
970,366
970,367
970,367
970,367
970,367
970,367
970,367
970,367
969,366
969,366
968,365
935,341
941,345
914,325
880,298
635,123
566,76
544,61
532,54
532,53
532,54
532,54
531,53
527,50
520,46
511,40
502,35
500,33
499,33
499,33
494,30
486,25
482,23
475,19
470,16
469,16
468,16
467,15
460,12
457,11
456,10
455,9
454,9
450,7
450,7
449,7
449,7
444,5
439,4
437,3
437,3
437,3
437,3
437,3
433,2
432,2
432,2
432,2
430,1
430,1
429,1
429,1
428,1
423,0
418,0
416,0
416,0
415,0
413,0
407,0
406,0
402,0
372,0
307,0
274,0
272,0
272,0
247,0
184,0
178,0
178,0
178,0
150,0
148,0
148,0
148,0
148,0
148,0
148,0
148,0
148,0
148,0
135,0
113,0
97,0
67,0
67,0
65,0
57,0
50,0
46,0
44,0
24,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
17,0
35,0
35,0
35,0
39,0
47,0
48,0
48,0
48,0
57,0
74,0
82,0
117,0
148,0
153,0
153,0
159,0
173,0
