A1,A2
237,6
237,7
236,6
236,6
236,7
236,6
236,6
236,7
236,6
236,7
236,7
236,7
236,6
236,7
236,7
236,7
236,6
236,6
236,6
237,6
236,6
236,6
237,7
236,7
237,7
236,6
236,7
237,7
237,7
237,6
237,6
237,6
236,7
236,6
236,6
236,7
236,6
236,6
236,7
236,6
236,6
236,7
236,6
236,7
236,7
236,6
236,7
236,7
236,7
236,7
236,7
236,7
236,7
236,7
236,7
236,7
236,7
236,6
236,6
236,7
236,7
236,7
236,7
236,7
237,7
236,7
236,7
236,7
236,6
237,7
237,7
237,7
237,7
237,7
237,6
237,7
237,6
237,7
237,7
237,6
237,7
237,6
237,7
237,7
237,6
237,7
236,6
236,7
236,6
236,6
236,6
235,6
235,6
235,6
235,6
236,7
236,7
236,6
235,6
230,6
227,6
226,6
227,6
222,6
209,5
194,4
183,3
175,3
173,3
173,3
169,2
164,2
163,2
162,2
162,2
162,2
161,2
161,2
158,2
157,2
153,2
151,1
150,1
149,1
149,1
143,1
140,1
135,1
127,0
116,0
105,0
103,0
102,0
99,0
93,0
87,0
80,0
76,0
76,0
75,0
68,0
66,0
52,0
48,0
39,0
34,0
7,0
6,0
6,0
6,0
7,0
6,0
8,0
9,0
5,0
7,0
10,0
8,0
7,0
5,0
9,0
4,0
4,0
3,0
6,0
4,0
8,0
11,0
5,0
7,0
7,0
4,0
7,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
5,0
5,0
4,0
4,0
5,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,0
14,0
22,0
29,0
33,0
41,0
51,0
59,0
62,0
64,0
75,0
80,0
84,0
86,0
92,0
100,0
103,0
105,1
109,1
117,1
124,1
128,1
133,1
139,2
148,2
156,2
164,3
170,3
174,3
180,3
183,3
185,3
190,4
196,4
200,4
203,4
207,4
212,5
217,5
221,5
226,5
234,6
239,6
246,6
253,6
258,7
263,7
269,7
275,7
282,8
293,8
304,9
311,9
318,10
328,10
337,11
345,11
351,12
359,12
375,13
388,14
398,15
405,15
419,16
430,17
443,18
453,19
465,20
476,21
481,21
484,22
491,23
513,25
528,26
545,27
555,28
566,29
575,30
579,30
595,32
641,36
679,39
719,42
742,44
746,44
771,47
785,48
801,49
831,52
912,59
977,65
987,66
986,66
966,64
963,63
975,65
942,63
968,65
972,66
972,66
972,66
975,67
980,68
979,68
979,68
979,69
977,69
970,69
977,70
976,71
973,71
960,70
954,70
950,70
958,72
961,72
960,73
959,73
951,72
956,73
956,74
953,74
953,74
953,74
956,75
933,73
953,76
956,76
954,76
946,76
946,76
947,76
947,77
948,77
948,77
947,77
945,78
944,78
944,78
931,77
843,68
779,62
755,60
723,56
656,50
634,48
615,46
579,42
553,40
534,38
505,35
499,34
487,33
468,31
463,31
442,29
437,28
423,27
413,26
402,25
366,21
339,18
314,16
304,15
297,14
294,14
289,13
286,13
279,12
276,12
271,12
268,12
264,10
261,11
260,11
259,11
253,10
248,10
242,9
237,8
233,8
230,8
226,7
222,7
216,6
210,6
205,5
200,5
198,5
192,4
187,4
182,4
177,3
174,3
171,2
167,2
164,2
161,2
155,1
144,0
134,0
126,0
115,0
106,0
102,0
102,0
93,0
81,0
67,0
53,0
47,0
40,0
28,0
13,0
7,0
7,0
7,0
6,0
5,0
5,0
6,0
6,0
6,0
5,0
8,0
5,0
7,0
4,0
5,0
6,0
7,0
7,0
6,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
4,0
5,0
6,0
6,0
6,0
6,0
7,0
7,0
11,0
13,0
23,0
31,0
34,0
39,0
52,0
60,0
69,0
79,0
84,0
86,0
90,0
91,0
95,0
104,0
114,0
124,1
132,1
140,1
151,2
161,2
167,2
171,2
175,2
183,2
191,3
201,3
211,3
214,3
216,3
220,4
225,4
228,4
231,4
236,4
239,4
244,5
250,5
253,5
258,5
261,5
263,6
270,6
277,6
287,7
294,7
302,8
309,8
317,9
321,9
327,9
338,10
345,10
348,11
350,11
351,11
354,11
355,11
355,11
355,12
360,12
366,13
369,13
372,14
373,14
378,15
383,15
389,16
397,16
403,17
409,18
411,18
410,18
412,18
416,19
422,20
441,21
452,22
457,23
465,23
479,25
501,26
514,28
524,28
534,30
555,31
577,33
609,36
631,38
651,39
671,41
685,43
694,43
712,45
737,48
779,51
863,59
978,69
987,70
997,71
996,72
997,72
997,72
1004,73
1004,74
1004,74
1003,75
1003,75
1004,76
1003,76
1004,77
1004,77
1003,78
1004,79
1004,79
1004,79
1003,80
1003,80
1002,80
1002,81
1002,81
1002,82
1002,82
1002,82
1002,83
1002,83
1002,83
1002,84
1002,84
1002,84
1002,84
1001,85
1002,85
1002,85
1002,86
1001,86
1001,86
1001,86
1000,86
1000,87
1000,87
1000,87
1000,87
1000,88
1000,88
1000,88
1000,88
1000,88
994,88
991,87
989,88
990,88
991,88
991,88
977,87
817,69
754,63
750,63
745,63
742,62
665,54
626,50
594,46
561,43
539,40
523,39
510,37
498,36
476,34
447,31
443,30
435,29
428,28
418,27
394,25
361,21
336,19
322,17
314,16
307,16
298,15
290,14
276,12
267,11
262,11
257,10
250,10
243,9
239,8
236,8
231,8
228,7
225,7
221,7
214,6
204,5
197,4
187,3
180,3
174,2
171,2
167,2
158,1
151,1
147,0
145,0
143,0
136,0
134,0
131,0
118,0
108,0
96,0
78,0
58,0
52,0
51,0
50,0
49,0
49,0
44,0
34,0
11,0
8,0
7,0
6,0
7,0
8,0
7,0
5,0
5,0
5,0
5,0
4,0
4,0
5,0
4,0
4,0
5,0
4,0
5,0
4,0
4,0
4,0
5,0
5,0
7,0
9,0
6,0
8,0
6,0
8,0
8,0
5,0
5,0
5,0
5,0
7,0
6,0
7,0
4,0
7,0
5,0
5,0
5,0
5,0
5,0
5,0
6,0
4,0
4,0
4,0
4,0
4,0
6,0
6,0
5,0
5,0
4,0
4,0
4,0
4,0
5,0
27,0
96,1
127,2
133,1
136,1
138,1
139,1
140,1
147,1
152,1
161,1
164,1
165,1
168,1
173,2
178,2
188,2
198,3
215,3
224,4
226,4
227,4
231,4
237,4
241,4
246,4
253,5
257,5
263,5
272,6
283,6
293,7
304,8
313,8
319,8
321,9
325,9
326,9
338,10
347,10
353,11
358,11
364,12
370,12
378,13
383,13
393,14
405,15
418,16
428,17
427,17
428,18
428,18
425,19
422,19
431,20
449,22
463,23
467,24
466,24
465,24
468,25
484,26
496,28
524,30
549,32
589,36
631,40
659,42
673,44
697,46
706,47
745,51
758,52
761,52
794,56
986,73
992,74
1000,75
1000,75
1000,76
1000,76
1000,77
999,77
999,78
1000,79
998,79
999,80
999,80
998,81
998,81
998,82
1000,82
1000,83
1001,83
1001,84
1001,84
1001,84
1001,85
1001,85
1001,86
1001,86
1001,87
1001,87
1002,87
1002,88
1002,88
1000,88
1000,88
1001,88
1001,89
1001,89
1000,89
1002,90
999,90
968,87
986,88
992,89
997,90
997,90
996,90
996,90
