
A1,A2
362,32
361,32
361,32
361,32
361,32
361,32
361,32
361,32
361,32
361,32
361,32
361,32
361,32
361,32
360,32
361,32
361,32
360,32
360,32
360,32
360,32
360,32
359,32
359,32
359,32
359,32
359,32
359,32
359,32
358,32
358,32
358,32
358,32
358,32
358,32
358,32
358,32
358,32
358,32
357,32
358,32
357,32
357,32
357,32
357,32
357,32
357,32
357,32
357,32
357,32
356,32
356,32
356,32
357,32
357,32
356,32
356,32
356,32
356,32
356,32
356,32
356,32
356,32
355,32
356,33
355,32
355,32
355,32
355,32
355,32
355,32
355,32
355,32
354,32
355,32
355,32
355,32
355,32
355,32
355,32
354,32
354,32
354,32
354,32
354,32
354,32
354,32
353,32
354,32
353,32
353,32
353,32
353,32
353,32
353,32
353,32
352,32
353,32
352,32
352,32
352,32
351,32
351,32
351,32
351,33
351,32
351,32
350,33
350,33
330,29
287,22
256,17
237,15
233,15
231,15
227,15
222,14
221,15
222,19
218,19
216,27
211,29
206,28
197,19
197,19
195,19
194,18
192,18
190,17
188,17
187,17
184,16
182,16
180,16
177,16
177,16
176,16
174,15
172,15
172,15
170,15
162,14
155,12
148,11
144,11
143,11
139,11
138,11
137,10
136,11
136,10
134,10
132,10
131,10
127,9
120,8
116,8
115,8
114,8
112,8
110,7
108,7
108,7
108,8
107,7
104,7
101,7
98,6
94,6
88,5
85,5
84,5
81,5
80,5
79,5
77,5
76,5
75,5
73,5
73,5
73,5
73,5
72,5
72,5
72,5
72,5
72,5
72,5
72,5
73,5
72,5
72,5
72,5
72,5
72,5
71,6
71,5
67,5
61,4
53,3
50,3
46,2
43,2
42,2
38,2
32,1
27,0
23,0
20,0
10,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,1
6,0
6,0
7,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
6,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
9,1
21,2
21,2
22,2
23,2
23,2
28,3
38,4
44,4
56,6
67,6
81,8
92,8
95,8
96,8
97,8
102,8
113,10
119,10
121,10
123,10
126,10
128,10
133,10
137,11
142,11
146,12
150,12
153,12
156,12
160,13
164,13
173,14
179,15
185,15
190,15
195,16
202,17
209,17
215,18
221,18
224,19
231,19
235,20
239,20
246,21
261,23
277,25
290,27
296,27
302,28
308,28
314,29
316,29
319,29
321,29
321,29
329,30
349,34
359,35
373,37
397,41
408,42
417,43
419,43
419,43
434,45
447,47
458,49
483,54
507,58
568,70
610,77
606,76
599,73
604,76
626,80
665,90
698,98
719,102
760,114
935,167
960,176
959,180
934,176
932,175
968,194
984,202
990,207
977,205
975,207
951,202
966,210
965,211
981,219
984,222
985,225
972,222
973,226
940,217
954,223
930,218
925,219
927,222
936,226
937,229
938,231
929,230
918,228
939,237
933,236
943,240
956,245
943,243
943,246
954,251
949,251
941,250
938,251
900,239
734,184
656,164
621,152
577,138
544,126
503,111
467,99
428,85
396,74
384,69
367,64
360,61
358,60
345,56
339,54
331,51
327,50
325,49
321,48
308,44
292,40
286,37
276,34
275,34
271,33
266,32
266,32
262,31
260,30
255,29
252,28
247,26
244,27
239,25
236,24
234,24
233,24
228,23
221,21
214,20
207,19
205,18
201,18
199,17
195,17
194,16
193,17
191,17
189,16
185,16
179,15
174,14
171,14
167,13
164,13
162,13
159,12
155,11
150,11
145,10
140,9
136,9
134,9
131,9
129,8
125,8
118,7
110,6
102,5
99,5
95,4
92,4
89,4
85,3
72,1
62,0
51,0
37,0
9,0
7,0
6,0
6,0
6,0
6,0
5,0
