A1,A2
1,0
0,0
1,0
1,0
2,0
1,0
7,0
4,0
1,0
2,0
3,0
3,0
7,0
5,0
7,0
5,0
3,0
3,0
6,0
4,0
2,0
1,0
1,0
2,0
0,0
2,0
1,0
1,0
2,0
3,0
3,0
4,0
3,0
3,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
10,0
11,0
10,0
10,0
11,0
10,0
11,0
11,0
35,0
64,1
73,0
74,0
75,0
75,0
99,1
128,2
164,2
182,3
188,2
202,3
227,3
275,5
308,5
316,5
320,5
322,5
330,5
335,5
338,5
340,5
343,5
355,5
368,6
374,6
378,6
379,6
380,6
385,6
389,6
398,6
411,7
421,7
428,7
432,7
440,7
449,8
452,7
454,8
455,8
459,8
464,8
473,8
481,9
492,9
504,9
510,10
535,11
554,11
566,12
583,13
587,13
588,13
588,13
590,13
593,14
602,14
613,15
627,16
642,17
657,18
669,19
690,20
723,23
729,23
739,24
750,25
758,26
760,26
762,27
773,28
796,30
805,31
827,33
830,33
858,36
948,44
1004,50
1009,51
1010,52
1010,53
1011,53
1010,54
1011,54
1011,55
1011,55
1011,55
1011,56
1011,56
1011,56
1011,56
1011,57
1011,57
1011,57
1009,57
1008,58
1005,57
1007,58
1009,58
1009,58
1008,58
1006,58
1009,59
1006,59
1001,58
985,57
999,59
993,58
995,59
982,57
966,55
852,44
821,42
800,40
758,36
727,33
685,29
655,27
630,25
600,23
580,22
572,21
557,21
544,20
522,18
500,17
483,16
458,14
444,13
426,12
412,11
395,10
384,10
371,9
355,8
341,7
333,7
324,6
314,6
308,5
302,5
296,5
292,5
289,4
285,4
281,4
271,4
257,3
241,2
229,2
223,2
214,2
207,1
200,1
191,1
176,0
156,0
133,0
116,0
101,0
88,0
72,0
61,0
54,0
53,0
43,0
26,0
4,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
3,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
4,0
4,0
4,0
4,0
8,0
9,0
9,0
30,0
45,0
64,0
71,0
74,0
82,0
92,0
103,0
111,0
117,0
120,0
124,0
130,1
136,1
140,1
145,1
149,1
152,1
164,1
181,2
195,2
199,2
200,2
203,2
205,2
208,2
211,2
217,2
224,2
231,2
233,3
235,2
237,2
242,3
246,3
252,3
256,3
262,3
267,3
269,3
270,3
274,3
277,3
281,3
285,3
292,3
299,4
302,4
305,4
315,4
326,4
336,5
340,5
341,5
345,5
352,5
355,5
362,5
368,5
373,5
379,6
386,6
394,6
405,7
415,7
424,7
428,7
432,7
435,7
439,8
441,8
443,8
446,8
447,8
451,8
452,8
455,8
461,8
466,9
467,9
470,9
473,9
478,9
485,10
486,9
489,10
493,10
496,10
498,10
498,10
498,10
498,10
502,10
504,11
504,11
503,11
508,11
513,11
513,11
513,11
514,11
513,11
515,11
515,11
518,12
521,12
521,12
520,12
520,12
520,12
516,12
525,13
523,12
513,12
520,12
534,13
538,13
539,13
537,13
542,14
553,14
539,13
554,15
553,14
553,14
558,15
560,15
561,15
562,15
560,15
562,15
558,16
558,14
574,16
559,15
578,17
562,15
584,17
592,18
605,18
606,18
602,18
624,20
632,20
628,20
629,20
619,19
633,21
643,22
630,21
644,22
647,22
646,22
627,21
656,23
630,21
661,23
666,24
663,24
658,24
667,24
672,25
663,23
669,23
701,27
698,27
704,28
703,28
676,24
698,28
698,28
692,28
692,28
694,28
685,28
698,29
682,27
707,30
716,30
725,31
733,32
734,32
730,32
734,32
732,32
734,33
727,32
736,33
736,33
738,33
738,33
736,34
736,34
735,34
735,34
734,34
733,34
734,34
733,34
730,34
725,34
730,34
724,34
728,35
726,35
728,35
726,35
717,34
697,33
671,31
646,29
610,26
601,26
589,25
590,25
578,24
560,23
551,22
547,22
545,22
537,21
529,21
526,21
521,20
514,20
497,19
482,18
470,17
463,16
457,16
438,15
433,14
433,14
429,14
427,14
414,13
413,13
410,13
400,12
392,11
381,11
384,11
383,11
377,11
376,11
375,11
375,11
371,10
364,10
357,9
352,9
350,9
347,9
345,9
338,8
335,8
334,8
334,8
333,8
329,8
325,7
319,7
317,7
315,7
310,6
305,6
303,6
301,6
299,6
296,6
290,5
282,5
275,5
267,4
264,4
260,4
256,4
253,4
250,3
245,3
241,3
236,3
235,3
234,3
228,2
224,2
221,2
214,2
210,2
208,2
203,2
201,2
196,1
190,1
184,1
174,1
168,1
163,1
154,0
147,0
140,0
133,0
128,0
112,0
103,0
101,0
96,0
86,0
73,0
65,0
54,0
47,0
35,0
25,0
18,0
4,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
3,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
3,0
3,0
2,0
3,0
3,0
3,0
14,0
22,0
21,0
25,0
33,0
42,0
59,0
73,0
80,0
83,0
87,0
98,0
111,0
120,0
125,0
128,0
135,0
148,1
165,1
174,1
179,1
188,1
196,1
207,1
213,1
225,2
235,2
240,2
244,3
248,2
255,2
262,2
268,3
280,3
292,3
306,3
320,4
323,4
325,4
333,4
342,4
360,5
385,5
402,6
415,6
423,6
430,7
435,7
443,7
445,7
446,7
450,7
457,8
464,8
471,8
474,8
474,8
477,8
486,9
494,9
498,9
500,10
508,10
517,11
524,11
532,11
537,12
542,12
557,13
570,14
580,14
587,15
588,15
592,15
595,15
609,16
628,17
648,19
655,19
656,19
655,20
660,20
665,21
671,21
685,22
698,23
705,24
706,24
706,25
709,25
708,25
707,25
706,25
705,25
704,26
702,26
701,26
700,26
699,26
697,26
696,26
694,27
693,27
658,24
620,22
582,20
560,19
555,19
554,19
552,19
545,19
539,18
529,18
510,16
495,16
480,15
459,14
451,13
443,13
432,12
428,12
424,12
412,11
405,11
392,10
384,9
380,9
377,9
374,9
364,8
352,8
345,7
337,7
332,6
327,7
322,6
316,6
309,5
303,5
298,5
297,5
296,5
295,5
292,5
286,4
281,4
277,4
274,4
268,4
266,3
262,3
257,3
256,3
252,3
244,2
239,2
233,2
228,2
224,2
220,2
217,2
213,1
206,1
196,1
184,0
173,0
164,0
153,0
147,0
141,0
131,0
120,0
112,0
110,0
108,0
102,0
99,0
97,0
90,0
85,0
79,0
73,0
70,0
60,0
51,0
40,0
24,0
4,0
3,0
3,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
5,0
7,0
4,0
3,0
2,0
3,0
2,0
2,0
1,0
2,0
3,0
2,0
2,0
2,0
2,0
2,0
1,0
2,0
2,0
2,0
2,0
2,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0
4,0
25,0
43,0
64,0
71,0
74,0
78,0
87,0
100,0
108,0
117,0
130,0
143,0
159,1
169,1
174,1
185,1
195,1
205,1
209,1
218,2
232,2
245,2
257,2
269,3
284,3
294,3
300,3
306,3
317,3
334,4
354,4
367,5
376,5
388,5
400,6
417,6
428,6
434,6
441,7
451,7
460,7
466,8
474,8
484,8
492,9
506,9
522,10
535,10
538,11
544,11
548,11
551,11
552,11
558,12
571,13
578,13
591,14
598,14
601,14
602,15
602,15
615,16
627,16
633,17
660,19
670,19
681,20
701,22
708,22
712,23
718,23
730,24
749,26
752,26
752,27
769,28
782,30
784,30
799,31
815,33
834,35
948,46
1003,51
999,51
1003,52
1004,53
1003,53
1003,53
1004,54
1004,55
1002,55
1003,56
1010,57
1010,57
1010,58
1010,58
1009,58
1009,59
1009,59
1009,59
1009,59
1008,60
1007,60
1009,60
1009,61
1009,61
1009,61
1008,62
1008,62
1008,62
1008,63
1008,63
1009,63
1007,63
1003,63
1002,63
1008,64
1008,64
1006,65
1002,65
1005,65
1007,66
1008,66
1006,66
1009,67
1007,67
1008,68
1006,68
1003,68
1005,68
1005,69
1005,69
1005,69
1005,70
997,69
996,69
998,70
998,70
997,70
985,69
903,61
807,53
750,48
682,42
616,36
578,32
539,29
501,25
485,24
479,23
476,23
475,23
465,22
458,22
457,21
439,20
427,19
413,17
404,17
395,16
390,15
381,15
379,15
379,14
375,14
374,14
373,14
370,14
362,13
352,12
346,11
338,11
331,10
323,10
317,9
313,9
313,9
306,8
298,7
287,7
280,6
279,6
275,6
270,5
265,5
263,5
257,4
250,4
247,4
245,4
244,4
240,3
234,3
233,3
233,3
233,3
233,3
233,3
233,3
233,3
233,3
231,3
227,3
220,2
217,2
212,2
197,1
184,1
177,0
170,0
160,0
145,0
138,0
137,0
128,0
109,0
99,0
95,0
94,0
94,0
86,0
80,0
73,0
72,0
72,0
67,0
55,0
41,0
32,0
26,0
19,0
3,0
3,0
4,0
4,0
4,0
4,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
3,0
3,0
2,0
2,0
2,0
1,0
3,0
2,0
1,0
1,0
2,0
2,0
2,0
2,0
4,0
1,0
1,0
3,0
15,0
24,0
26,0
37,0
43,0
54,0
75,0
89,0
111,0
130,0
133,0
135,0
136,0
138,0
146,0
158,0
170,1
177,1
189,1
196,1
205,1
216,1
223,1
228,2
236,2
249,2
261,2
280,3
294,3
297,4
301,3
304,3
306,3
312,3
320,4
331,4
340,4
343,4
345,4
348,5
350,5
350,5
350,5
350,5
355,5
367,6
374,6
391,7
398,7
402,7
406,7
407,7
410,7
414,8
416,8
419,8
419,8
419,8
420,8
429,8
432,8
435,9
439,9
440,9
445,9
447,9
447,9
446,9
445,9
453,10
457,10
457,10
457,10
458,10
463,11
465,11
464,10
471,11
478,12
478,12
478,12
477,12
481,12
485,12
484,12
484,12
488,13
494,13
495,13
494,13
493,13
502,14
506,14
507,14
507,14
507,14
522,15
524,15
524,15
523,15
526,15
530,16
533,16
534,16
536,16
540,17
543,17
544,17
544,17
547,17
551,17
552,17
551,17
550,18
550,18
552,18
554,18
554,18
561,19
562,19
562,19
562,19
562,19
562,19
564,19
569,20
569,20
570,20
569,20
569,20
569,20
568,20
567,20
583,21
593,22
603,23
609,23
609,23
609,23
609,23
609,23
611,24
617,24
624,25
629,25
644,26
646,26
646,26
648,26
649,27
650,27
648,27
648,27
653,28
655,27
655,28
655,28
655,28
655,28
655,28
655,28
656,28
656,28
655,28
655,28
659,29
685,31
690,31
698,32
699,32
698,32
698,32
697,32
697,32
696,32
697,32
696,33
696,33
695,33
695,33
694,33
718,35
732,36
733,36
732,36
732,36
755,38
776,40
777,40
780,41
783,41
806,43
824,45
848,47
915,53
942,55
946,56
971,59
975,59
975,60
975,60
975,60
976,61
976,61
977,62
977,62
976,62
984,63
985,63
986,64
986,64
986,65
986,65
985,65
986,65
986,66
985,66
985,66
985,66
984,67
985,67
985,67
982,67
982,67
983,68
983,68
983,68
982,69
982,69
983,69
982,70
981,69
981,70
980,69
980,70
981,70
981,70
982,71
984,71
984,71
989,72
989,72
989,73
989,73
989,73
989,73
989,74
989,74
989,74
989,74
989,75
990,75
990,75
986,75
987,76
990,76
990,76
989,76
985,76
985,76
984,76
984,77
983,77
981,76
981,77
985,78
984,77
984,78
986,78
981,77
978,77
978,78
980,78
976,78
972,77
970,77
958,76
975,78
969,78
963,77
966,78
970,78
967,78
970,78
970,78
970,79
960,78
967,79
958,78
951,77
950,77
956,78
775,59
747,56
731,54
693,51
682,50
672,48
655,47
631,44
626,44
584,39
569,37
533,34
513,32
512,32
508,31
498,30
499,30
499,30
498,30
488,29
491,29
485,28
471,27
464,26
457,25
460,26
453,25
442,24
440,24
433,23
431,23
432,23
432,23
427,22
429,22
428,22
429,22
429,22
430,22
430,22
430,22
430,22
429,22
430,22
430,22
430,22
430,22
431,22
431,22
431,22
431,22
431,22
431,22
431,22
431,22
432,22
430,22
431,22
431,22
431,22
429,22
430,22
431,22
432,22
431,22
432,22
432,22
432,22
432,22
433,22
433,22
433,22
433,22
433,22
433,22
433,22
433,22
434,22
434,22
434,22
435,22
434,22
434,22
434,22
434,22
435,22
435,22
435,22
436,22
435,22
435,22
435,22
436,22
436,22
436,22
436,22
436,22
436,22
437,22
436,22
436,22
436,22
436,22
436,22
436,22
436,22
436,22
436,22
436,22
436,22
436,22
436,22
435,22
434,22
435,22
436,23
441,31
441,29
438,29
449,38
450,39
450,40
449,40
448,40
449,40
449,40
445,36
444,34
447,39
448,40
449,40
441,28
440,27
442,29
441,28
441,28
441,28
