A1,A2
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,39
277,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
278,40
277,40
274,39
280,40
281,40
281,40
280,40
279,40
278,40
276,39
274,39
271,39
271,39
272,39
272,39
272,39
264,38
263,38
269,38
265,38
242,34
199,28
166,23
137,19
133,18
132,18
132,18
126,18
121,17
119,16
111,15
107,15
99,13
86,11
78,10
72,9
72,9
72,9
67,9
61,8
55,7
51,6
45,5
37,4
28,3
22,2
16,1
9,0
2,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
8,0
8,0
8,0
9,0
9,0
9,0
9,0
9,0
9,0
10,0
20,2
23,3
28,3
33,4
48,6
51,6
51,6
51,6
57,7
62,8
64,8
67,9
69,9
73,9
77,10
81,11
82,11
83,11
86,11
91,12
97,13
100,13
104,14
106,14
106,14
108,14
110,15
114,15
118,16
123,17
125,17
132,18
137,19
140,19
145,20
150,21
156,22
160,22
160,22
160,22
163,23
171,24
174,24
180,25
180,25
185,26
183,26
189,26
195,27
198,28
205,29
216,31
221,31
222,31
222,31
223,31
229,32
231,33
235,33
240,34
241,34
249,35
259,37
263,37
265,38
271,39
273,39
287,41
317,46
330,47
335,48
340,49
347,50
354,51
358,52
357,51
366,53
369,53
376,54
392,57
405,58
424,61
466,67
513,74
541,78
543,79
544,79
549,79
586,84
578,83
590,85
590,85
630,91
654,95
666,96
666,96
688,100
719,103
769,111
841,121
856,123
884,127
905,129
912,131
920,132
921,132
921,132
921,132
927,132
926,132
926,132
927,132
927,132
926,132
925,132
913,131
925,132
929,133
928,132
928,133
925,132
934,133
934,133
935,134
923,132
894,129
917,130
890,128
882,127
911,130
919,131
933,133
898,128
866,124
885,126
886,126
914,129
886,127
911,130
916,131
902,129
909,130
906,129
903,129
917,131
929,133
940,134
937,134
938,134
908,130
922,132
941,134
937,133
938,133
906,129
926,132
926,132
877,125
931,133
915,131
927,132
923,131
921,131
898,128
906,129
895,127
737,105
724,103
709,101
686,98
660,94
601,86
570,81
539,77
481,69
468,67
434,62
395,56
381,54
372,53
363,52
349,50
340,48
336,48
323,46
295,42
283,40
274,39
274,38
266,37
255,36
247,35
229,32
222,31
215,30
206,29
194,27
191,26
190,26
190,26
176,24
165,23
159,22
155,21
150,20
148,20
143,19
141,19
141,19
140,19
136,18
134,18
131,18
131,18
128,17
127,17
124,17
122,16
118,16
116,15
109,14
104,14
99,13
92,12
87,11
84,11
81,10
78,10
74,9
72,9
68,9
65,8
61,8
58,7
57,7
53,6
50,6
47,5
38,4
29,3
19,2
5,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
8,0
24,2
33,4
33,4
33,4
33,4
45,5
50,6
51,6
51,6
53,6
54,7
57,7
61,8
64,8
69,9
72,9
77,10
80,10
82,11
85,11
87,11
89,11
89,12
91,12
96,13
99,13
100,13
102,13
106,14
117,15
122,16
123,16
123,16
124,16
124,17
124,16
126,17
131,18
141,19
145,20
146,20
147,20
148,20
148,20
150,20
158,21
165,23
176,24
182,25
185,25
189,26
190,26
191,26
197,27
201,28
211,29
223,31
229,32
233,32
242,34
254,35
270,38
288,41
311,44
318,45
327,46
333,47
337,48
346,49
361,51
376,53
412,58
427,61
437,62
481,68
528,75
565,80
608,86
609,87
626,89
648,92
660,94
665,94
677,96
692,98
713,101
833,118
947,134
960,136
959,136
958,136
960,136
961,136
968,137
971,137
971,137
971,137
971,137
971,137
971,137
972,137
971,137
972,137
971,137
972,137
972,137
971,137
972,138
972,138
972,138
972,138
972,138
972,137
972,138
972,138
973,138
972,138
969,137
966,137
960,136
956,135
953,135
952,135
952,135
951,135
951,135
951,134
951,134
951,135
951,135
952,135
952,135
951,135
951,134
950,134
940,133
938,133
940,133
939,133
940,133
940,133
888,125
713,101
605,86
528,75
502,71
493,70
493,70
493,70
493,70
494,70
494,70
494,70
494,70
494,70
494,70
494,70
493,70
493,70
472,67
455,64
446,63
437,62
437,62
435,62
423,60
423,60
422,60
407,58
405,57
404,57
399,56
391,55
382,54
379,53
376,53
367,52
362,51
357,50
351,49
350,49
348,49
346,49
343,48
340,48
336,47
331,47
319,45
303,43
286,40
278,39
277,39
268,37
261,36
256,36
250,35
249,35
248,34
247,34
241,33
239,33
232,32
232,32
231,32
227,31
226,31
222,31
218,30
217,30
211,29
205,28
197,27
195,27
194,27
193,27
192,26
190,26
181,25
175,24
174,24
172,23
170,23
165,22
157,21
143,19
135,18
127,17
121,16
115,15
106,14
100,13
94,12
90,12
88,11
84,11
81,10
79,10
76,10
75,9
73,9
71,9
68,9
66,8
65,8
65,8
65,8
64,8
57,7
55,7
55,7
55,7
50,6
43,5
35,4
30,3
25,3
17,2
9,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
7,0
24,2
26,3
27,3
27,3
27,3
27,2
27,3
30,3
34,4
41,5
41,5
41,5
42,5
44,5
45,5
45,5
48,6
49,6
51,6
53,6
56,7
57,7
59,7
62,8
65,8
69,9
73,9
78,10
82,11
84,11
85,11
86,11
88,11
89,11
92,12
94,12
95,12
95,12
95,12
97,12
99,13
99,13
100,13
100,13
103,14
106,14
107,14
108,14
108,14
113,15
117,15
118,16
119,16
120,16
122,16
122,16
122,16
124,16
128,17
131,17
132,17
132,18
136,18
140,19
141,19
142,19
145,19
148,20
149,20
150,20
153,21
159,21
161,22
162,22
163,21
164,22
167,22
174,24
179,24
181,25
182,25
184,25
184,25
187,25
189,26
190,26
191,26
194,27
198,27
202,28
208,29
216,30
218,30
220,30
221,31
224,31
226,31
230,32
235,32
238,33
240,33
244,34
252,35
259,36
270,38
275,38
280,39
285,40
297,41
312,44
322,45
329,46
332,47
335,47
343,48
358,50
363,51
370,52
385,54
396,56
404,57
417,59
432,61
482,68
556,79
619,88
646,91
660,93
706,100
745,105
772,109
885,125
915,129
927,131
925,130
927,131
930,131
937,132
937,132
937,132
937,132
938,132
938,132
939,132
939,132
939,132
940,132
940,133
940,132
941,132
941,132
941,132
941,132
941,132
941,132
941,132
940,133
941,132
941,132
940,132
940,132
940,132
940,132
940,132
940,132
939,132
939,132
939,132
938,132
938,132
938,132
937,132
937,132
937,132
936,132
937,132
937,132
931,131
927,130
927,131
926,130
926,130
928,131
927,130
916,129
849,119
650,92
527,74
447,63
402,57
366,51
339,48
317,44
293,41
273,38
252,35
244,34
241,33
241,33
234,32
225,31
223,31
220,30
214,29
206,28
