A1,A2
873,555
873,555
873,555
872,554
872,555
872,555
872,555
873,555
873,555
873,555
873,555
873,555
873,555
873,555
873,555
873,555
873,555
873,555
873,555
874,555
874,556
874,556
874,556
874,556
874,556
874,556
874,556
874,556
874,556
874,556
875,556
874,556
874,556
874,556
874,556
874,556
874,556
869,551
867,549
869,552
872,555
895,572
895,571
898,574
898,574
897,573
897,573
896,573
896,573
896,573
896,573
896,572
896,573
896,572
895,572
895,572
895,572
896,572
896,573
896,573
896,573
893,571
894,572
892,569
838,529
843,532
843,532
844,533
845,534
845,534
829,522
838,528
840,530
785,488
795,496
783,487
404,200
351,160
302,123
298,120
290,113
255,87
236,74
214,58
209,54
199,47
190,41
184,37
183,36
178,33
172,29
167,26
163,23
157,19
152,17
149,15
147,14
147,14
147,14
145,13
143,12
142,11
142,11
141,11
140,10
138,10
137,10
134,8
132,7
131,6
131,6
130,5
128,5
126,4
125,3
125,3
124,3
122,2
119,0
112,0
100,0
72,0
36,0
32,0
30,0
24,0
24,0
23,0
22,0
24,0
24,0
22,0
22,0
22,0
21,0
21,0
21,0
21,0
22,0
22,0
22,0
22,0
20,0
19,0
19,0
20,0
24,0
22,0
22,0
22,0
23,0
24,0
28,0
27,0
69,0
84,0
92,0
97,0
101,0
105,1
108,2
109,2
111,2
113,3
115,3
117,4
118,4
119,4
120,4
122,5
124,6
125,6
127,7
129,8
130,8
132,8
132,8
135,9
137,10
139,11
142,12
144,12
147,14
152,16
158,19
161,20
163,20
165,21
169,23
172,24
174,25
177,26
180,27
184,29
189,31
193,33
201,37
208,41
216,45
229,52
244,59
269,73
288,83
325,104
372,131
411,153
530,233
788,411
831,442
864,470
877,483
878,491
869,498
867,513
861,520
863,530
866,536
872,544
875,548
874,550
874,551
874,552
866,547
868,550
867,549
867,550
870,553
867,550
867,552
871,555
875,558
866,552
844,535
855,544
861,548
862,548
859,547
865,552
867,553
855,545
854,543
843,536
845,538
857,546
857,546
860,548
864,552
862,550
857,546
853,543
853,543
859,548
858,548
860,549
860,549
861,550
863,551
864,552
866,553
865,553
865,553
866,553
866,553
865,553
864,552
863,551
863,552
863,551
863,552
864,552
863,552
864,552
862,551
863,551
863,551
863,551
864,552
859,549
855,545
845,537
817,516
811,512
813,513
814,514
818,517
813,513
814,514
817,516
817,516
818,516
793,497
702,425
399,199
352,163
312,131
288,113
277,104
266,96
257,90
247,82
236,74
223,65
213,58
199,48
191,43
186,39
180,35
177,33
175,32
173,31
169,29
167,28
162,25
157,21
152,18
146,15
143,13
141,12
141,12
140,12
139,11
138,11
138,11
136,10
134,9
133,8
131,8
130,7
129,7
128,6
126,6
124,4
122,3
119,2
117,1
113,0
110,0
106,0
100,0
94,0
89,0
59,0
57,0
57,0
54,0
53,0
53,0
52,0
51,0
51,0
51,0
50,0
50,0
49,0
49,0
49,0
48,0
48,0
48,0
47,0
47,0
47,0
47,0
46,0
46,0
46,0
46,0
45,0
45,0
45,0
45,0
44,0
44,0
44,0
44,0
44,0
43,0
44,0
48,0
69,0
70,0
75,0
88,0
95,0
98,0
102,1
106,3
109,4
110,4
111,3
113,4
116,5
118,6
119,6
122,7
126,8
129,10
131,10
134,11
138,13
143,15
146,16
149,16
151,17
154,18
157,19
161,21
166,23
172,26
179,29
183,30
187,32
197,37
210,44
234,56
266,73
295,88
319,100
360,124
450,179
816,423
851,443
854,444
896,474
899,477
898,478
898,481
897,485
897,490
896,496
896,503
895,511
893,519
892,527
891,535
890,541
889,545
888,548
887,550
878,547
880,550
882,553
882,554
883,556
883,557
883,558
882,558
878,556
878,556
881,559
881,559
881,559
881,560
884,563
891,568
888,566
887,566
890,568
890,568
888,567
888,568
889,568
889,569
890,569
891,570
891,570
892,571
892,571
890,570
891,570
892,572
891,571
891,571
891,571
883,565
880,563
882,565
887,568
881,564
872,557
874,558
873,557
885,567
886,567
877,560
874,558
874,559
871,556
870,556
867,553
864,551
866,552
866,553
867,553
868,554
868,554
866,553
865,552
876,561
878,562
873,558
869,555
869,555
869,555
867,554
866,553
865,553
862,550
859,548
860,548
861,549
863,551
862,550
866,553
866,553
861,549
869,555
867,553
862,550
820,518
814,513
822,520
813,513
821,519
819,517
775,484
546,301
397,196
367,174
339,151
289,114
268,98
240,77
220,62
206,52
190,41
178,33
172,28
170,28
166,25
160,21
155,18
151,16
149,15
145,12
143,11
141,10
138,9
136,8
135,7
133,6
132,6
131,5
129,4
127,4
124,2
122,1
119,0
115,0
111,0
106,0
97,0
79,0
33,0
31,0
31,0
30,0
30,0
27,0
24,0
24,0
24,0
23,0
23,0
23,0
22,0
22,0
22,0
22,0
21,0
20,0
20,0
19,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
18,0
20,0
19,0
20,0
20,0
21,0
21,0
20,0
20,0
21,0
21,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
22,0
22,0
22,0
23,0
62,0
72,0
78,0
82,0
86,0
91,1
96,3
98,3
100,4
103,5
105,5
107,6
109,6
110,6
112,7
114,7
115,7
117,8
117,8
119,8
120,9
122,9
125,10
126,10
128,11
130,12
132,12
135,13
138,15
140,15
142,16
143,16
145,16
147,18
150,18
153,20
156,21
160,23
164,24
169,27
172,27
175,29
179,31
185,34
192,36
196,38
199,39
202,41
207,43
212,45
224,51
229,53
237,57
245,61
259,68
266,71
282,79
311,95
330,104
354,119
379,132
427,160
736,366
834,429
847,436
851,438
848,436
894,469
894,469
893,470
895,473
894,476
894,479
893,482
893,485
892,489
891,493
890,498
889,502
887,507
886,513
885,519
884,524
883,529
882,533
882,537
881,539
881,542
881,544
881,546
882,548
884,551
884,551
883,552
880,552
878,551
878,552
879,553
879,553
879,554
879,555
880,555
880,556
880,556
879,556
879,556
877,555
881,558
881,559
880,558
857,540
824,517
826,518
831,522
832,522
787,489
756,465
409,206
356,166
287,114
257,92
241,80
233,73
235,74
230,71
228,70
226,68
222,65
220,64
212,59
203,53
195,47
194,47
194,47
194,47
194,47
194,47
194,47
194,47
188,43
183,40
179,38
173,34
172,33
170,33
169,32
167,31
164,29
162,28
161,27
160,27
157,25
154,24
151,22
148,20
147,19
145,19
144,18
143,17
142,17
141,17
140,16
139,16
138,15
137,15
135,14
134,13
133,13
132,13
131,12
130,12
129,11
128,11
127,10
126,10
124,9
123,9
122,8
121,8
119,7
118,7
117,6
115,5
113,4
111,3
109,2
107,1
106,1
105,0
104,0
102,0
100,0
98,0
96,0
94,0
91,0
89,0
85,0
79,0
75,0
71,0
64,0
32,0
26,0
25,0
25,0
24,0
24,0
24,0
23,0
20,0
20,0
20,0
20,0
19,0
19,0
19,0
19,0
18,0
18,0
18,0
18,0
18,0
16,0
17,0
17,0
17,0
17,0
17,0
16,0
16,0
16,0
16,0
16,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
17,0
17,0
17,0
22,0
37,0
57,0
71,0
78,1
82,2
86,3
89,4
93,5
95,5
97,5
99,6
101,6
104,7
106,8
109,8
111,9
113,10
114,10
116,10
117,10
119,11
120,11
122,11
124,12
126,13
129,14
131,14
132,15
133,15
134,15
136,15
137,15
137,15
139,16
140,16
143,17
145,18
148,19
149,19
150,19
151,19
153,20
155,21
157,22
158,22
159,22
160,23
161,23
164,24
164,24
166,24
167,25
171,26
173,27
175,28
176,28
176,28
177,28
177,28
178,28
178,28
178,28
181,29
185,32
193,35
197,37
198,37
198,37
199,37
199,37
199,37
199,37
200,37
200,37
200,37
200,37
200,37
189,31
180,27
173,24
169,22
166,20
161,18
158,17
157,17
155,16
154,16
153,15
152,15
150,14
148,13
145,13
143,12
142,11
140,11
139,11
137,10
136,10
135,9
134,9
133,9
132,8
131,8
129,8
128,7
127,7
126,7
126,7
124,6
123,6
122,5
120,5
119,5
118,4
117,4
116,4
116,4
115,4
115,4
115,4
114,4
114,4
114,4
113,4
113,4
113,4
113,4
113,5
116,6
119,7
120,8
121,8
122,9
125,10
126,11
128,12
129,12
130,12
132,14
134,15
137,16
139,17
142,18
145,19
149,21
152,23
155,24
158,25
160,25
163,27
165,28
168,30
172,31
177,33
180,35
181,35
184,37
186,37
189,39
192,40
194,41
196,42
198,43
201,45
203,46
205,46
209,49
219,54
221,54
225,57
228,58
231,60
234,61
240,64
251,70
255,72
260,74
270,80
273,81
275,82
281,86
299,96
300,96
309,101
312,102
313,102
321,108
338,117
351,124
357,127
364,131
370,135
387,145
399,152
433,172
594,273
804,408
849,439
868,451
866,449
862,447
865,449
860,446
859,447
860,449
906,483
904,483
902,482
904,486
906,489
903,489
909,496
912,500
911,503
914,507
913,510
913,513
913,516
912,519
910,522
909,525
908,528
908,531
907,534
907,537
907,540
907,543
906,545
905,547
906,549
905,551
905,552
905,554
905,556
905,557
902,555
899,554
898,555
892,551
893,553
894,554
884,548
886,551
891,555
891,555
896,559
896,560
896,561
896,561
896,562
897,563
899,565
893,560
879,550
893,562
884,555
882,554
881,554
881,554
880,553
879,552
883,556
890,562
887,560
882,556
882,557
876,552
876,552
871,549
878,554
878,554
876,553
876,553
884,559
882,558
882,558
880,556
880,557
881,558
880,557
875,553
